Q_m3_s,D_m,L_m,rho_kg_m3,mu_Pa_s,epsilon_m,n_bend,zeta_bend,extra_zeta,velocity_m_s,Re,relative_roughness,friction_factor,sum_zeta,dp_friction_Pa,dp_local_Pa,dp_phy_Pa,systematic_error_ratio,random_noise_ratio,dp_obs_Pa,error_Pa,relative_error
0.0007376021746153359,0.05836560790747303,100.0,1000.0,0.001,2.1001172734764773e-05,1,0.9,0.0,0.2756882651778918,16090.713190064285,0.00035982102281977295,0.02777560473940951,2.6,1808.4773563590422,98.80522542383426,1907.2825817828766,0.006544665280881362,0.017384995355393146,1952.9232067024182,45.64062491954155,0.02392966063627442
0.0014737041736293211,0.028372275711508632,100.0,1000.0,0.001,3.962670978670703e-05,4,0.9,0.0,2.3309453374250784,66134.22378187983,0.001396670122257175,0.02408010364352573,5.300000000000001,230567.64451353345,14398.261340068839,244965.90585360228,0.03082382523725556,-0.004839250540991463,251331.24073229317,6365.33487869089,0.025984574696263946
0.004508257287010068,0.025216329957764967,100.0,1000.0,0.001,1.1191888777522814e-05,1,0.9,0.0,9.027241369184368,227633.89697373903,0.0004438349591819348,0.018126300076204208,2.6,2928919.264251019,105938.41275876778,3034857.6770097865,-0.003699964218179154,0.022669098833524238,3092426.300823399,57568.62381361239,0.018969134615345176
0.0062191779259748135,0.03395965360344438,100.0,1000.0,0.001,3.2449802517544525e-05,5,0.9,0.0,6.866202333548008,233173.8528184518,0.0009555398561030459,0.020565792162883324,6.2,1427530.4782540773,146148.67690418236,1573679.1551582597,0.0037007217453473643,0.05330604497428089,1663389.515647908,89710.3604896483,0.05700676671962807
0.005676944065730558,0.05899306626677139,100.0,1000.0,0.001,1.881762488162787e-05,4,0.9,0.0,2.0769344686042084,122524.73273810967,0.00031898028145431625,0.018724799284237516,5.300000000000001,68459.19582319008,11431.190485222052,79890.38630841213,-0.011412094532493908,-0.00819536811531676,78323.93854295077,-1566.4477654613584,-0.019607462647810703
0.008758353047532873,0.036691442493839765,100.0,1000.0,0.001,4.0352294685190694e-05,1,0.9,0.0,8.283292436509123,303925.9480938324,0.0010997740056680944,0.020925144929882435,2.6,1956499.2295541503,89196.81366534803,2045696.0432194984,0.06815183753543126,-0.00819479349322132,2168349.9309797846,122653.88776028622,0.059957044042210014
0.0037323799069209226,0.06188836369929361,100.0,1000.0,0.001,1.6219179992471264e-05,2,0.9,0.0,1.2407319355750306,76786.86928219601,0.00026207155954676483,0.019874598811179273,3.5,24718.112038310574,2693.9775379225835,27412.089576233157,0.02272096931894855,0.05527244854275871,29550.05213301486,2137.962556781702,0.07799341786170724
0.004109309356054705,0.026132616591190923,100.0,1000.0,0.001,2.435917521938514e-05,2,0.9,0.0,7.661488644176947,200214.7452560393,0.0009321368617789466,0.020636001798437893,3.5,2317602.705185161,102722.21442849154,2420324.9196136524,0.017785334355724276,0.02686021552035181,2528381.656528574,108056.73691492155,0.044645549876076246
0.008167718596106611,0.05622356188201347,100.0,1000.0,0.001,3.918927146775272e-05,4,0.9,0.0,3.2898354334889155,184966.26607640466,0.00069702576919606,0.01972064217280327,5.300000000000001,189810.85676653276,28680.995525513885,218491.85229204665,0.07108627650967267,-0.016431603507723325,230433.4530326587,11941.600740612048,0.05465467300194945
0.00926180603426752,0.02748956977119256,100.0,1000.0,0.001,1.3152007923138327e-05,2,0.9,0.0,15.605220670452091,428980.80241524905,0.0004784362953879639,0.017569821340840012,3.5,7782322.704397752,426165.0963036341,8208487.800701386,0.06243243036833848,0.018989601525508763,8876839.55621035,668351.755508964,0.0814220318938472
